92 100091
44 82 79
31 42 95
31 64 68
88 16 94
72 39 61
65 26 78
74 85 100
22 36 74
29 81 45
74 66 25
82 42 20
81 47 87
14 55 83
65 10 73
60 55 55
2 32 39
79 25 17
89 69 25
52 89 2
2 50 93
81 16 2
21 62 42
33 53 31
74 61 94
26 0 53
75 68 13
20 34 22
11 47 49
20 50 45
48 55 57
43 52 60
62 72 97
85 87 4
30 63 50
63 48 51
90 0 38
7 39 13
86 29 87
59 23 53
85 54 29
83 90 82
15 25 46
12 47 61
29 59 100
28 56 21
87 81 97
86 48 67
24 88 10
65 79 26
51 9 24
65 38 34
51 84 53
91 86 40
89 85 78
68 8 67
10 56 49
84 50 65
86 37 76
69 29 96
68 61 9
59 72 52
21 77 72
2 51 86
53 59 56
66 38 71
62 35 22
30 2 15
51 31 37
16 74 95
54 31 52
67 80 75
5 56 78
31 70 18
71 40 58
59 2 61
41 81 54
74 8 79
20 75 13
72 44 89
74 60 69
42 60 57
11 17 4
25 19 28
18 22 37
35 42 47
1 29 75
66 15 100
69 6 26
88 42 96
81 38 15
91 77 17
1 53 66
3 16 18
3 10 70
13 62 67
79 88 42
82 27 77
16 72 52
65 39 57
83 23 48
49 46 42
91 11 26
89 85 77
12 90 69
13 74 75
74 28 82
23 14 74
70 43 29
29 47 100
78 44 90
83 30 78
80 21 65
23 49 26
76 65 45
56 33 68
12 85 24
65 19 20
65 83 32
67 29 6
85 73 78
42 82 4
27 4 74
39 0 78
59 57 17
91 51 32
68 26 54
45 36 75
86 44 25
2 15 89
66 75 59
66 35 53
77 43 77
16 79 42
0 1 64
46 64 69
88 44 27
49 70 4
21 17 89
24 43 66
0 16 65
8 44 48
39 58 38
50 33 19
77 41 16
8 39 54
29 44 8
35 22 86
12 69 54
23 21 6
8 4 85
85 48 20
83 64 31
74 89 76
87 44 48
48 62 51
6 52 8
40 24 1
30 20 32
9 42 73
75 19 75
34 45 43
33 37 12
88 83 18
85 60 98
70 32 71
17 50 83
32 66 81
17 30 82
23 62 33
26 44 64
75 52 45
58 61 54
77 68 44
17 39 97
33 60 90
85 52 20
29 63 93
80 61 4
20 15 57
83 61 59
4 54 9
56 32 71
82 6 44
38 89 86
39 37 41
71 59 82
83 25 16
13 46 49
18 63 21
3 17 77
37 69 23
9 39 14
66 21 79
10 60 30
56 6 22
76 83 65
51 72 26
46 43 66
13 73 77
0 66 39
6 58 55
66 6 11
31 48 1
52 16 52
18 48 23
14 9 35
8 10 95
33 74 12
30 71 69
36 41 59
86 1 67
20 62 59
83 73 18
52 79 54
9 23 68
18 11 88
86 87 94
74 21 67
14 31 100
77 41 70
21 55 5
10 44 25
85 59 11
13 61 92
49 44 74
39 15 14
68 18 3
58 47 32
55 18 54
11 64 30
81 4 83
20 24 43
71 6 69
82 90 9
40 46 64
91 5 67
8 6 9
1 18 91
48 37 40
21 86 67
78 31 76
69 48 14
10 79 14
28 26 66
69 41 71
60 39 1
71 76 49
65 70 15
75 60 67
80 42 44
20 70 45
2 9 61
84 88 88
78 81 11
38 61 18
82 59 43
0 69 7
54 56 79
47 4 50
30 8 70
33 77 56
84 51 91
59 61 82
18 71 48
50 63 75
56 41 26
63 84 48
59 81 67
19 4 83
46 58 65
64 62 88
84 73 71
14 53 77
55 73 96
34 86 75
87 11 49
58 47 67
56 57 9
15 69 35
0 87 61
6 87 97
41 70 4
74 60 29
91 9 33
8 1 22
73 26 72
48 31 92
66 32 38
60 39 26
89 80 58
41 42 27
17 32 10
86 27 55
45 51 60
51 30 21
26 40 48
35 45 78
30 6 80
59 49 39
3 53 8
3 29 72
84 32 26
64 34 94
31 45 47
35 54 9
38 18 6
41 69 70
64 18 34
2 14 19
21 7 42
57 9 70
50 79 52
67 33 22
73 78 20
14 26 17
88 38 21
66 21 83
46 84 7
9 82 100
81 17 85
18 58 52
42 32 31
79 48 78
35 24 42
34 37 59
90 34 86
77 65 77
75 41 73
62 61 85
26 47 96
48 33 6
24 13 75
28 79 60
41 59 42
49 3 47
53 45 27
30 85 6
26 17 39
83 0 30
80 61 6
0 62 61
45 50 95
21 26 93
85 77 30
62 52 52
28 44 48
43 24 13
38 29 23
60 29 32
85 14 17
27 34 48
45 44 72
21 31 72
47 25 61
20 77 58
47 25 45
73 7 60
7 2 80
26 90 50
30 40 69
58 50 72
50 81 25
3 36 92
77 83 38
65 17 51
28 26 44
70 50 27
51 31 51
2 33 10
24 31 61
73 79 69
78 84 38
25 84 48
57 23 64
12 16 74
53 65 38
90 76 99
79 83 91
9 34 68
53 24 86
6 23 80
66 67 33
25 44 94
23 9 91
48 2 78
42 48 61
61 75 1
85 86 87
43 65 7
33 70 87
81 32 8
62 17 83
65 89 20
9 41 93
63 30 23
35 62 95
51 73 70
10 73 65
79 4 41
64 2 63
46 82 33
18 41 60
14 46 41
11 49 60
30 52 20
49 41 42
65 40 71
43 40 59
24 36 10
84 51 1
36 67 80
40 89 22
54 25 28
85 53 20
28 63 27
89 7 42
34 26 98
78 9 58
56 47 49
54 81 28
8 73 67
54 15 82
82 43 6
36 71 3
77 68 12
23 71 44
28 70 65
70 6 64
54 53 24
13 41 100
33 73 31
9 56 51
29 76 50
37 61 5
14 45 11
70 55 97
81 89 38
82 83 21
69 41 9
35 9 23
76 72 69
56 90 47
1 67 55
68 34 59
6 73 26
59 76 42
62 19 35
67 64 97
40 83 65
23 7 29
47 89 59
78 27 20
71 9 60
72 73 74
57 89 70
80 57 92
47 23 68
40 56 39
51 64 31
53 37 59
30 56 78
26 46 46
79 52 91
50 51 43
52 53 81
62 32 48
90 53 59
40 20 94
90 44 49
2 35 60
39 57 40
24 25 29
30 82 100
64 11 81
56 81 10
12 79 57
32 58 53
30 90 26
89 24 62
13 34 40
22 18 46
61 3 33
86 63 98
0 37 71
41 65 95
89 82 39
43 9 78
73 22 88
66 68 44
36 85 85
83 25 81
81 82 78
67 27 46
25 40 98
33 21 50
42 33 39
3 85 78
67 3 20
25 70 40
21 68 22
39 65 85
47 2 84
75 45 43
23 51 85
10 67 92
18 15 3
11 1 9
81 73 28
2 68 62
15 70 69
89 14 15
73 82 91
0 38 46
36 58 43
55 20 12
9 68 45
90 79 95
7 48 16
20 8 43
51 43 70
16 0 33
43 3 8
88 6 15
73 21 15
48 8 98
83 16 17
56 68 64
42 15 83
18 83 30
58 44 6
15 36 24
12 83 72
26 62 35
87 22 81
53 17 59
75 82 71
51 56 8
60 47 27
16 27 96
91 4 77
73 28 35
66 88 94
16 80 32
62 34 46
26 22 4
20 77 51
52 42 91
24 16 34
14 15 76
68 27 77
2 38 68
35 32 22
55 82 30
77 52 13
46 64 81
49 22 21
6 5 90
62 71 63
6 47 13
61 74 24
4 70 28
49 89 69
89 81 21
38 54 66
9 41 70
48 63 6
86 64 93
85 55 75
6 10 76
16 80 84
34 89 86
81 36 30
60 77 3
40 80 30
80 20 75
66 80 42
63 51 32
65 81 96
32 61 37
50 67 83
5 23 3
90 76 28
31 0 55
61 24 68
52 70 68
10 13 90
42 10 70
23 89 67
29 8 28
27 35 59
58 25 45
80 82 84
27 2 36
38 69 90
70 7 24
38 4 43
74 43 50
69 16 79
61 46 39
53 4 29
8 9 97
36 5 56
26 61 48
67 12 8
49 6 18
27 87 100
65 47 69
66 12 21
77 38 42
51 21 98
60 13 28
71 59 94
78 34 95
64 23 70
42 75 99
12 63 45
3 80 14
34 80 11
51 46 87
61 87 51
1 66 78
35 72 97
81 68 63
18 0 60
89 39 86
80 31 64
90 89 1
69 60 3
29 44 20
22 74 89
42 36 90
6 88 34
50 61 10
79 20 3
74 18 22
14 77 20
58 80 53
17 71 61
5 21 34
89 75 37
50 26 55
54 52 63
11 51 24
14 54 64
78 61 92
30 61 42
88 20 87
33 49 55
12 7 8
1 4 28
34 37 80
7 52 96
90 29 52
20 58 3
1 16 68
88 84 25
31 87 79
10 64 4
50 78 32
10 89 70
76 19 15
70 0 88
22 21 1
20 33 68
87 2 19
41 67 71
0 62 96
78 16 32
24 57 31
77 38 5
6 19 85
55 84 44
91 74 86
87 86 8
53 74 27
64 17 78
41 66 18
63 69 10
71 62 72
23 82 15
79 26 58
4 24 76
86 50 41
54 72 46
47 87 52
32 1 94
69 72 24
26 88 58
77 76 87
78 84 70
44 22 8
86 15 56
42 86 83
79 30 91
76 3 86
5 29 16
58 72 68
57 34 85
52 41 70
54 15 34
63 61 64
66 1 83
24 23 100
26 61 12
3 70 28
64 48 4
15 0 51
88 52 78
15 22 54
61 19 42
25 5 66
67 2 46
35 50 9
9 10 75
55 77 10
62 74 69
62 66 32
62 29 29
69 31 55
91 37 42
54 67 84
67 20 5
19 88 67
24 12 1
86 11 32
84 70 83
56 42 55
34 25 3
26 71 38
81 5 24
17 4 52
39 88 76
39 77 17
78 82 83
5 62 81
44 66 43
8 33 39
6 69 65
75 55 22
86 8 98
88 40 64
31 82 3
66 37 8
65 49 10
9 47 8
57 67 90
81 41 34
38 78 61
73 74 68
74 3 58
6 51 77
35 85 39
24 16 48
49 28 66
4 83 91
21 43 65
9 37 87
65 35 11
50 12 13
50 3 27
28 3 44
88 69 77
79 28 65
89 5 28
27 4 72
56 75 27
27 1 29
77 61 19
20 5 49
70 36 59
75 21 10
68 17 93
20 44 98
77 19 61
9 8 4
56 30 44
69 63 39
17 38 73
57 74 43
90 51 71
45 84 18
51 86 1
27 65 5
28 34 48
33 29 26
32 0 28
49 36 37
65 72 68
23 50 59
67 42 60
15 84 92
50 51 61
88 82 39
6 0 19
22 24 42
55 27 53
81 41 36
56 72 96
33 89 4
18 57 95
20 26 58
67 40 67
39 71 64
48 61 78
26 81 30
32 52 43
58 48 48
64 31 57
71 17 59
76 65 87
10 75 39
44 69 73
14 74 64
31 19 75
73 2 12
51 87 44
86 43 71
20 36 48
61 89 45
91 5 86
56 84 81
0 67 73
7 5 88
85 88 22
62 4 10
83 45 40
59 41 27
73 48 38
19 65 30
46 84 13
68 53 93
19 78 31
52 6 32
8 87 89
50 33 43
34 65 27
71 48 83
54 68 14
41 58 65
23 0 100
87 6 87
33 32 45
76 25 75
22 55 100
55 69 73
21 7 100
74 16 70
15 2 9
67 89 33
29 71 29
68 38 62
44 34 20
31 74 99
41 13 31
68 75 88
17 64 61
85 10 85
56 5 8
1 20 44
56 13 93
22 36 32
74 56 56
71 7 50
19 78 63
8 41 45
39 54 68
20 36 21
15 39 99
7 27 1
60 70 1
7 33 75
2 73 64
8 80 87
70 26 78
36 35 46
64 43 41
42 86 66
33 11 23
44 7 43
26 14 66
75 58 6
88 69 28
83 71 50
75 16 92
5 80 23
2 58 46
84 12 77
78 45 5
67 20 24
11 74 48
88 56 61
64 43 53
6 45 73
56 61 9
22 80 17
18 37 99
28 84 40
71 0 69
45 51 44
91 41 82
50 56 17
50 78 1
11 12 94
60 61 15
36 22 55
26 0 99
5 65 58
51 88 74
9 3 81
23 6 25
35 68 87
8 27 43
32 47 82
51 23 80
25 20 47
21 8 20
47 6 41
8 57 93
50 63 100
89 36 60
38 68 60
77 20 28
69 46 21
72 26 42
2 27 2
80 79 53
89 68 35
50 47 23
55 8 94
87 6 67
6 72 9
81 55 20
55 2 46
73 41 5
37 33 29
6 48 24
65 10 24
28 78 99
7 75 29
38 81 36
1 85 13
44 12 53
9 54 93
86 60 44
56 78 24
63 26 39
86 37 70
81 13 6
31 53 64
77 76 49
46 75 30
6 44 1
35 26 60
74 0 67
10 37 49
49 50 76
40 27 53
54 52 100
65 71 4
68 39 27
66 73 54
9 5 23
10 9 20
41 79 45
60 28 92
59 41 38
29 2 86
83 78 39
40 56 98
2 58 23
78 76 56
30 33 92
90 62 39
74 50 88
32 21 7
16 42 13
88 18 64
21 15 2
91 0 15
48 47 16
29 74 88
82 5 57
5 84 2
32 14 44
34 51 96
79 82 98
42 66 49
78 55 95
2 11 52
14 5 97
53 7 56
91 53 39
9 12 40
44 49 80
41 84 29
69 53 49
47 35 80
66 60 60
16 2 63
57 19 80
0 33 47
7 41 63
71 77 79
83 75 89
3 52 61
6 76 73
3 53 7
45 47 35
8 13 6
75 51 23
31 8 86
90 45 100
47 32 97
84 36 22
18 59 47
80 27 13
74 57 77
26 19 4
74 44 65
68 71 63
13 67 7
76 8 89
74 12 78
29 83 67
4 44 5
60 10 63
68 4 32
66 25 16
73 55 85
32 49 94
78 60 21
0 35 75
79 87 49
23 58 26
66 28 18
48 67 70
78 23 62
88 79 53
75 60 98
69 52 36
36 82 23
39 26 66
2 84 2
30 78 40
83 20 96
38 29 51
62 88 88
77 67 72
77 88 78
33 24 18
20 60 57
43 89 33
85 46 13
25 62 51
42 74 60
38 28 88
3 52 7
89 63 44
86 21 68
39 73 51
66 53 71
87 38 92
69 57 48
66 34 92
59 31 83
10 49 68
17 89 69
14 5 37
61 62 50
69 60 72
23 82 79
62 79 81
88 55 90
11 36 46
9 84 92
8 40 99
87 43 3
43 31 49
55 87 10
76 65 29
9 81 47
11 67 56
47 56 60
34 4 83
69 75 86
91 75 92
7 89 80
15 7 56
53 22 72
23 59 46
59 55 54
46 11 16
9 4 19
70 4 48
67 56 59
4 63 39
1 56 66
80 0 63
34 75 75
32 87 45
33 69 82
51 53 37
11 83 80
25 71 11
35 66 19
29 24 28
7 3 64
50 49 73
1 54 33
65 44 88
79 19 97
21 60 28
71 40 69
39 48 45
4 84 56
49 19 82
15 34 94
68 9 55
21 88 47
56 70 32
51 54 100
11 36 73
43 54 90
15 42 32
20 1 68
40 53 43
63 60 36
60 63 100
1 41 80
34 14 64
68 2 89
55 53 74
70 1 37
68 11 89
11 42 87
41 84 72
90 6 58
0 49 56
88 14 38
1 38 42
37 17 79
43 59 3
6 25 21
55 24 89
83 59 31
71 73 65
26 41 3
61 2 91
85 9 94
42 13 45
34 22 97
72 6 49
50 2 22
43 62 14
31 84 48
83 50 12
25 66 38
47 8 68
86 20 49
18 37 99
63 27 15
66 16 42
11 12 11
11 74 64
88 83 79
62 20 35
48 76 86
68 14 86
69 66 60
91 89 25
68 60 42
28 83 13
69 27 23
89 33 62
34 8 22
78 53 41
21 69 53
54 88 45
17 18 74
50 23 24
40 35 25
15 86 38
52 44 29
8 89 81
71 16 42
32 28 37
74 39 48
58 7 22
69 78 6
66 18 37
30 60 67
30 73 100
71 26 31
33 56 83
28 61 49
7 18 75
74 38 61
91 69 80
89 28 23
34 58 47
4 80 81
52 64 79
68 87 52
9 67 85
84 80 68
42 24 2
17 73 95
67 59 82
60 33 32
12 58 61
81 47 48
63 74 91
20 59 15
66 58 1
38 73 69
7 77 46
21 83 32
70 64 94
85 25 53
91 10 56
24 11 98
17 50 2
29 71 18
19 15 8
4 41 54
80 24 87
82 70 91
3 15 27
74 44 54
30 14 27
3 37 2
68 63 61
6 1 75
42 6 11
7 76 87
16 22 75
49 48 71
56 17 87
14 1 70
30 3 89
14 20 62
24 71 72
59 8 55
5 82 54
65 43 12
66 54 74
25 30 39
14 13 99
19 31 37
18 13 51
83 74 8
83 86 64
45 48 1
52 25 80
23 79 94
77 16 1
43 33 82
37 16 71
14 49 68
0 73 64
78 62 14
50 87 49
76 17 29
54 13 66
69 75 40
65 59 29
50 43 80
70 77 32
81 71 3
54 22 84
30 18 33
66 29 79
17 54 78
0 41 87
66 64 97
80 3 71
27 0 85
29 62 26
80 54 20
80 61 3
4 80 68
82 48 27
84 61 97
49 10 52
10 34 44
39 44 19
3 88 46
37 61 65
80 61 83
90 50 71
90 43 61
6 79 86
75 32 86
37 82 14
6 52 98
43 70 84
47 41 39
13 28 92
4 82 39
59 7 24
0 52 96
45 69 58
12 28 33
32 62 6
70 56 13
60 15 29
46 34 28
7 3 52
13 33 54
18 55 25
79 27 56
14 35 96
9 15 41
40 66 84
12 81 88
74 38 19
1 20 53
2 71 66
73 66 87
23 50 94
39 32 27
1 0 30
88 22 91
36 24 17
0 48 100
18 17 21
1 11 35
28 61 70
13 14 41
66 9 5
77 73 20
18 87 43
2 16 94
7 39 5
8 62 49
28 4 36
52 82 9
58 49 71
68 50 37
82 63 35
80 7 25
69 72 7
43 44 86
84 50 89
86 7 9
47 84 39
52 41 57
37 83 84
39 81 67
45 79 34
69 1 93
66 26 22
48 46 56
88 27 49
28 78 23
39 83 6
31 25 7
9 3 6
60 27 26
16 21 56
43 29 12
80 32 55
29 82 54
83 58 73
18 83 70
33 13 20
55 52 19
17 4 4
1 29 5
31 46 1
87 61 35
90 41 79
64 84 92
70 38 34
26 33 80
21 68 34
59 68 27
70 61 19
15 74 23
39 78 29
44 29 46
33 67 34
64 66 68
47 45 24
34 53 14
30 32 39
48 45 72
62 30 59
46 75 44
14 2 34
50 4 84
16 15 14
77 72 30
59 65 83
49 17 19
16 46 23
37 36 7
19 90 31
59 76 45
71 35 89
75 79 81
27 6 90
91 64 5
67 62 4
57 62 2
37 38 77
79 36 28
1 61 23
59 44 87
15 57 4
5 56 56
52 84 21
40 83 7
48 51 79
73 30 8
13 82 47
55 35 11
58 55 97
14 61 93
38 4 37
43 88 33
13 87 37
2 31 84
36 34 24
86 46 71
84 90 41
48 6 69
58 29 55
88 56 14
6 30 67
10 21 20
47 79 45
71 77 86
46 82 59
81 67 74
56 10 82
6 71 88
34 56 62
23 43 23
82 31 24
8 89 17
57 74 24
3 75 98
39 65 56
59 4 49
55 1 76
88 29 73
61 51 81
73 75 33
2 50 98
2 7 53
63 85 97
28 36 85
34 84 10
69 75 100
23 78 6
48 67 46
73 27 96
58 81 5
4 81 27
52 67 85
20 68 52
56 86 36
65 76 31
78 84 71
53 36 7
56 84 52
66 67 49
9 58 36
69 14 21
88 35 49
9 5 9
88 17 82
32 36 85
16 48 38
81 31 50
68 67 93
71 67 70
77 44 50
86 89 57
57 2 67
85 84 71
10 56 33
24 7 81
33 25 28
66 15 86
33 70 62
17 10 88
61 9 7
24 2 69
80 41 39
20 40 17
28 17 66
18 17 45
76 47 77
12 63 79
17 86 57
54 51 86
60 3 89
64 73 57
64 88 52
2 49 84
33 40 18
9 26 94
72 13 50
64 71 15
20 7 44
5 18 11
44 70 77
50 64 1
61 83 56
1 45 11
22 45 34
7 64 56
36 47 25
2 84 91
72 3 47
67 25 57
2 32 63
75 77 38
14 19 6
3 55 23
81 80 27
6 35 31
87 47 93
37 72 71
46 56 91
85 19 97
75 77 2
55 56 30
73 80 49
59 67 90
88 59 96
50 34 76
22 19 37
76 79 99
56 19 91
89 79 87
68 15 95
60 67 72
51 56 63
50 22 76
4 75 67
86 12 87
18 84 61
76 25 44
91 17 29
84 1 54
11 9 41
50 16 18
10 48 59
85 69 64
26 14 32
91 7 42
13 36 4
87 42 92
68 72 48
56 74 86
42 2 49
19 14 1
26 86 100
86 75 21
0 44 6
67 37 16
25 11 78
47 61 60
12 36 12
66 72 57
0 5 47
55 36 60
87 68 81
89 65 87
85 71 30
81 63 99
44 72 23
24 76 37
3 19 44
16 10 43
16 47 92
46 14 49
84 42 3
32 66 61
27 63 66
26 13 83
39 17 76
45 33 92
25 47 47
87 42 88
80 2 41
74 5 77
69 3 56
59 84 11
76 81 15
69 87 23
48 15 15
19 64 32
87 59 1
82 54 25
42 83 69
8 21 66
51 52 61
46 75 71
33 75 4
37 27 37
46 3 79
85 6 44
7 66 88
36 82 21
62 51 47
7 1 7
17 23 76
70 53 54
85 9 71
91 32 79
40 37 95
79 36 17
67 70 70
44 81 19
80 0 16
37 57 26
76 67 63
65 22 64
46 7 76
49 73 91
3 45 13
74 86 49
26 57 39
55 74 56
53 2 46
32 57 34
64 5 69
50 74 39
82 81 81
2 33 76
47 86 9
23 61 94
57 29 93
21 8 44
60 56 25
81 7 71
83 39 7
41 6 41
73 72 15
38 50 64
83 42 75
8 61 96
90 52 52
71 0 64
87 57 11
35 21 51
34 79 79
70 35 72
73 45 95
68 45 36
81 72 1
64 65 77
64 77 100
47 73 95
77 47 87
16 22 29
64 21 19
68 32 5
39 30 32
51 21 93
1 28 24
31 89 78
36 58 56
8 39 51
55 5 80
37 22 6
24 64 23
28 8 27
62 47 95
47 37 100
33 35 58
86 65 67
1 15 31
88 37 35
23 39 71
31 89 62
75 76 65
72 28 1
15 41 16
81 29 17
62 27 68
79 27 77
15 19 51
56 34 13
42 18 47
67 89 72
37 4 47
74 73 88
13 50 46
89 73 98
54 41 37
24 49 86
84 59 41
38 39 98
44 79 12
68 36 94
76 67 33
25 77 96
1 52 34
52 2 38
15 72 52
55 57 18
87 86 65
7 80 75
81 86 5
10 51 85
2 11 81
79 38 57
71 61 75
2 9 29
0 18 87
19 50 41
5 29 66
54 22 38
15 24 73
42 6 84
47 12 99
26 22 41
78 49 83
8 41 19
73 39 38
17 14 66
65 39 30
12 89 52
43 54 25
45 8 35
7 75 95
86 54 97
60 14 95
80 70 14
26 5 70
54 14 90
65 30 24
2 51 79
6 35 8
61 19 24
21 89 19
25 49 65
84 36 6
74 70 67
11 55 78
69 83 78
84 78 59
72 3 48
80 77 98
28 10 4
25 64 80
6 29 48
65 49 35
12 31 77
49 58 74
7 31 8
51 46 24
67 68 97
37 45 81
76 11 94
22 32 66
57 36 74
90 74 59
47 25 62
3 25 98
88 81 61
44 15 71
41 8 81
49 70 25
53 20 52
22 70 34
55 4 42
6 56 48
23 90 32
91 8 97
61 52 86
46 34 88
9 43 72
24 51 49
67 29 66
25 58 18
44 8 54
25 88 8
55 66 39
25 32 3
33 55 5
57 6 42
67 3 90
82 77 58
74 26 10
13 14 55
59 58 27
28 35 62
31 83 83
72 41 45
50 1 79
64 46 62
1 52 33
25 28 40
38 72 77
35 57 39
58 77 53
88 66 72
81 1 77
16 45 85
3 48 70
78 31 68
39 66 13
41 89 84
74 51 21
67 43 49
68 88 16
81 62 41
7 47 5
4 2 57
22 33 59
59 1 23
17 18 32
86 80 17
7 21 96
65 61 75
20 74 90
77 10 48
70 51 73
10 12 45
9 75 41
54 72 33
36 52 27
45 25 24
1 26 97
20 83 7
69 6 92
63 82 20
7 84 77
19 72 62
89 86 74
55 34 45
45 28 62
77 46 93
69 43 56
1 57 19
84 28 78
89 14 63
44 89 72
39 0 64
74 13 36
46 8 87
46 26 94
23 3 52
12 1 15
41 47 80
55 83 12
65 38 100
24 40 88
41 38 47
1 15 91
44 63 17
49 17 48
86 71 50
12 4 14
48 43 43
49 60 14
25 76 30
81 44 40
21 76 58
83 32 9
55 10 52
1 83 27
63 37 60
21 53 92
5 21 77
42 11 98
67 87 43
71 90 18
42 39 7
15 50 67
85 90 37
53 58 60
73 58 21
84 88 94
37 18 81
46 78 25
25 54 19
48 30 81
2 67 76
90 59 21
78 20 70
19 0 85
82 3 16
34 54 82
22 0 34
27 68 99
2 7 28
17 77 79
89 14 62
39 49 47
60 75 48
21 8 8
25 74 38
57 34 93
63 83 18
3 9 46
89 26 48
7 34 93
82 67 51
63 19 27
63 17 8
24 0 62
13 43 31
48 27 21
47 20 77
0 25 89
8 61 39
83 71 16
18 73 69
62 81 39
68 75 99
86 6 37
27 2 27
65 72 63
35 58 85
59 52 72
66 90 35
29 17 4
15 30 77
41 6 21
83 6 50
90 0 12
46 52 87
91 40 23
60 34 27
14 77 21
0 47 92
71 37 33
73 75 66
39 90 72
57 71 100
9 74 41
7 80 39
32 5 3
44 20 38
76 35 98
39 82 33
41 87 82
1 64 88
7 37 57
13 25 76
24 41 10
35 64 53
40 59 83
89 62 59
78 57 41
77 2 69
18 33 97
65 66 14
5 13 4
34 78 8
2 67 31
67 23 72
47 88 6
41 0 74
52 86 77
28 40 5
51 20 45
26 5 41
61 66 72
